태블릿/모바일,제조사,모델명,세대,디스플레이,출시일,옆테이블 join용 기준,,,모델명,통신,용량,정가,keyword
,,,,,,,,,아이패드 프로 11,셀룰러,1TB,2209000,애플 아이패드 프로 11 셀룰러 1TB
,,,,,,,,,아이패드 1세대 9.7,WIFI,16GB,635000,애플 아이패드 1세대 9.7 WIFI 16GB
,,,,,,,,,아이패드 1세대 9.7,WIFI,32GB,748000,애플 아이패드 1세대 9.7 WIFI 32GB
,,,,,,,,,아이패드 1세대 9.7,WIFI,64GB,865000,애플 아이패드 1세대 9.7 WIFI 64GB
,,,,,,,,,아이패드 1세대 9.7,셀룰러,16GB,650000,애플 아이패드 1세대 9.7 셀룰러 16GB
,,,,,,,,,아이패드 1세대 9.7,셀룰러,32GB,790000,애플 아이패드 1세대 9.7 셀룰러 32GB
,,,,,,,,,아이패드 1세대 9.7,셀룰러,64GB,920000,애플 아이패드 1세대 9.7 셀룰러 64GB
,,,,,,,,,아이패드 2세대 9.7,WIFI,16GB,635000,애플 아이패드 2세대 9.7 WIFI 16GB
,,,,,,,,,아이패드 2세대 9.7,WIFI,32GB,748000,애플 아이패드 2세대 9.7 WIFI 32GB
,,,,,,,,,아이패드 2세대 9.7,WIFI,64GB,865000,애플 아이패드 2세대 9.7 WIFI 64GB
,,,,,,,,,아이패드 2세대 9.7,셀룰러,16GB,650000,애플 아이패드 2세대 9.7 셀룰러 16GB
,,,,,,,,,아이패드 2세대 9.7,셀룰러,32GB,790000,애플 아이패드 2세대 9.7 셀룰러 32GB
,,,,,,,,,아이패드 2세대 9.7,셀룰러,64GB,920000,애플 아이패드 2세대 9.7 셀룰러 64GB
,,,,,,,,,아이패드 3세대 9.7,WIFI,16GB,620000,애플 아이패드 3세대 9.7 WIFI 16GB
,,,,,,,,,아이패드 3세대 9.7,WIFI,32GB,740000,애플 아이패드 3세대 9.7 WIFI 32GB
,,,,,,,,,아이패드 3세대 9.7,WIFI,64GB,860000,애플 아이패드 3세대 9.7 WIFI 64GB
,,,,,,,,,아이패드 3세대 9.7,셀룰러,16GB,770000,애플 아이패드 3세대 9.7 셀룰러 16GB
,,,,,,,,,아이패드 3세대 9.7,셀룰러,32GB,890000,애플 아이패드 3세대 9.7 셀룰러 32GB
,,,,,,,,,아이패드 3세대 9.7,셀룰러,64GB,1010000,애플 아이패드 3세대 9.7 셀룰러 64GB
,,,,,,,,,아이패드 4세대 9.7,WIFI,16GB,620000,애플 아이패드 4세대 9.7 WIFI 16GB
,,,,,,,,,아이패드 4세대 9.7,WIFI,32GB,740000,애플 아이패드 4세대 9.7 WIFI 32GB
,,,,,,,,,아이패드 4세대 9.7,WIFI,64GB,860000,애플 아이패드 4세대 9.7 WIFI 64GB
,,,,,,,,,아이패드 4세대 9.7,WIFI,128GB,980000,애플 아이패드 4세대 9.7 WIFI 128GB
,,,,,,,,,아이패드 4세대 9.7,셀룰러,16GB,770000,애플 아이패드 4세대 9.7 셀룰러 16GB
,,,,,,,,,아이패드 4세대 9.7,셀룰러,32GB,890000,애플 아이패드 4세대 9.7 셀룰러 32GB
,,,,,,,,,아이패드 4세대 9.7,셀룰러,64GB,990000,애플 아이패드 4세대 9.7 셀룰러 64GB
,,,,,,,,,아이패드 4세대 9.7,셀룰러,128GB,1119000,애플 아이패드 4세대 9.7 셀룰러 128GB
,,,,,,,,,아이패드 5세대 9.7,WIFI,32GB,430000,애플 아이패드 5세대 9.7 WIFI 32GB
,,,,,,,,,아이패드 5세대 9.7,WIFI,128GB,550000,애플 아이패드 5세대 9.7 WIFI 128GB
,,,,,,,,,아이패드 5세대 9.7,셀룰러,32GB,600000,애플 아이패드 5세대 9.7 셀룰러 32GB
,,,,,,,,,아이패드 5세대 9.7,셀룰러,128GB,720000,애플 아이패드 5세대 9.7 셀룰러 128GB
,,,,,,,,,아이패드 6세대 9.7,WIFI,32GB,430000,애플 아이패드 6세대 9.7 WIFI 32GB
,,,,,,,,,아이패드 6세대 9.7,WIFI,128GB,550000,애플 아이패드 6세대 9.7 WIFI 128GB
,,,,,,,,,아이패드 6세대 9.7,셀룰러,32GB,600000,애플 아이패드 6세대 9.7 셀룰러 32GB
,,,,,,,,,아이패드 6세대 9.7,셀룰러,128GB,720000,애플 아이패드 6세대 9.7 셀룰러 128GB
,,,,,,,,,아이패드 7세대 10.2,WIFI,32GB,449000,애플 아이패드 7세대 10.2 WIFI 32GB
,,,,,,,,,아이패드 7세대 10.2,WIFI,128GB,579000,애플 아이패드 7세대 10.2 WIFI 128GB
,,,,,,,,,아이패드 7세대 10.2,셀룰러,32GB,619000,애플 아이패드 7세대 10.2 셀룰러 32GB
,,,,,,,,,아이패드 7세대 10.2,셀룰러,128GB,749000,애플 아이패드 7세대 10.2 셀룰러 128GB
,,,,,,,,,아이패드 미니 1세대 7.9,WIFI,16GB,420000,애플 아이패드 미니 1세대 7.9 WIFI 16GB
,,,,,,,,,아이패드 미니 1세대 7.9,WIFI,32GB,640000,애플 아이패드 미니 1세대 7.9 WIFI 32GB
,,,,,,,,,아이패드 미니 1세대 7.9,WIFI,64GB,660000,애플 아이패드 미니 1세대 7.9 WIFI 64GB
,,,,,,,,,아이패드 미니 1세대 7.9,셀룰러,16GB,570000,애플 아이패드 미니 1세대 7.9 셀룰러 16GB
,,,,,,,,,아이패드 미니 1세대 7.9,셀룰러,32GB,690000,애플 아이패드 미니 1세대 7.9 셀룰러 32GB
,,,,,,,,,아이패드 미니 1세대 7.9,셀룰러,64GB,810000,애플 아이패드 미니 1세대 7.9 셀룰러 64GB
,,,,,,,,,아이패드 미니 2세대 7.9,WIFI,16GB,500000,애플 아이패드 미니 2세대 7.9 WIFI 16GB
,,,,,,,,,아이패드 미니 2세대 7.9,WIFI,32GB,620000,애플 아이패드 미니 2세대 7.9 WIFI 32GB
,,,,,,,,,아이패드 미니 2세대 7.9,WIFI,64GB,740000,애플 아이패드 미니 2세대 7.9 WIFI 64GB
,,,,,,,,,아이패드 미니 2세대 7.9,WIFI,128GB,860000,애플 아이패드 미니 2세대 7.9 WIFI 128GB
,,,,,,,,,아이패드 미니 2세대 7.9,셀룰러,16GB,650000,애플 아이패드 미니 2세대 7.9 셀룰러 16GB
,,,,,,,,,아이패드 미니 2세대 7.9,셀룰러,32GB,770000,애플 아이패드 미니 2세대 7.9 셀룰러 32GB
,,,,,,,,,아이패드 미니 2세대 7.9,셀룰러,64GB,890000,애플 아이패드 미니 2세대 7.9 셀룰러 64GB
,,,,,,,,,아이패드 미니 2세대 7.9,셀룰러,128GB,999000,애플 아이패드 미니 2세대 7.9 셀룰러 128GB
,,,,,,,,,아이패드 미니 3세대 7.9,WIFI,16GB,480000,애플 아이패드 미니 3세대 7.9 WIFI 16GB
,,,,,,,,,아이패드 미니 3세대 7.9,WIFI,64GB,600000,애플 아이패드 미니 3세대 7.9 WIFI 64GB
,,,,,,,,,아이패드 미니 3세대 7.9,WIFI,128GB,720000,애플 아이패드 미니 3세대 7.9 WIFI 128GB
,,,,,,,,,아이패드 미니 3세대 7.9,셀룰러,16GB,640000,애플 아이패드 미니 3세대 7.9 셀룰러 16GB
,,,,,,,,,아이패드 미니 3세대 7.9,셀룰러,64GB,760000,애플 아이패드 미니 3세대 7.9 셀룰러 64GB
,,,,,,,,,아이패드 미니 3세대 7.9,셀룰러,128GB,880000,애플 아이패드 미니 3세대 7.9 셀룰러 128GB
,,,,,,,,,아이패드 미니 4세대 7.9,WIFI,16GB,480000,애플 아이패드 미니 4세대 7.9 WIFI 16GB
,,,,,,,,,아이패드 미니 4세대 7.9,WIFI,32GB,520000,애플 아이패드 미니 4세대 7.9 WIFI 32GB
,,,,,,,,,아이패드 미니 4세대 7.9,WIFI,64GB,600000,애플 아이패드 미니 4세대 7.9 WIFI 64GB
,,,,,,,,,아이패드 미니 4세대 7.9,WIFI,128GB,720000,애플 아이패드 미니 4세대 7.9 WIFI 128GB
,,,,,,,,,아이패드 미니 4세대 7.9,셀룰러,16GB,640000,애플 아이패드 미니 4세대 7.9 셀룰러 16GB
,,,,,,,,,아이패드 미니 4세대 7.9,셀룰러,32GB,680000,애플 아이패드 미니 4세대 7.9 셀룰러 32GB
,,,,,,,,,아이패드 미니 4세대 7.9,셀룰러,64GB,760000,애플 아이패드 미니 4세대 7.9 셀룰러 64GB
,,,,,,,,,아이패드 미니 4세대 7.9,셀룰러,128GB,880000,애플 아이패드 미니 4세대 7.9 셀룰러 128GB
,,,,,,,,,아이패드 미니 5세대 7.9,WIFI,64GB,499000,애플 아이패드 미니 5세대 7.9 WIFI 64GB
,,,,,,,,,아이패드 미니 5세대 7.9,WIFI,256GB,699000,애플 아이패드 미니 5세대 7.9 WIFI 256GB
,,,,,,,,,아이패드 미니 5세대 7.9,셀룰러,64GB,669000,애플 아이패드 미니 5세대 7.9 셀룰러 64GB
,,,,,,,,,아이패드 미니 5세대 7.9,셀룰러,256GB,869000,애플 아이패드 미니 5세대 7.9 셀룰러 256GB
,,,,,,,,,아이패드 에어 1세대 9.7,WIFI,16GB,620000,애플 아이패드 에어 1세대 9.7 WIFI 16GB
,,,,,,,,,아이패드 에어 1세대 9.7,WIFI,32GB,740000,애플 아이패드 에어 1세대 9.7 WIFI 32GB
,,,,,,,,,아이패드 에어 1세대 9.7,WIFI,64GB,860000,애플 아이패드 에어 1세대 9.7 WIFI 64GB
,,,,,,,,,아이패드 에어 1세대 9.7,WIFI,128GB,9080000,애플 아이패드 에어 1세대 9.7 WIFI 128GB
,,,,,,,,,아이패드 에어 1세대 9.7,셀룰러,16GB,770000,애플 아이패드 에어 1세대 9.7 셀룰러 16GB
,,,,,,,,,아이패드 에어 1세대 9.7,셀룰러,32GB,890000,애플 아이패드 에어 1세대 9.7 셀룰러 32GB
,,,,,,,,,아이패드 에어 1세대 9.7,셀룰러,64GB,999000,애플 아이패드 에어 1세대 9.7 셀룰러 64GB
,,,,,,,,,아이패드 에어 1세대 9.7,셀룰러,128GB,1120000,애플 아이패드 에어 1세대 9.7 셀룰러 128GB
,,,,,,,,,아이패드 에어 2세대 9.7,WIFI,16GB,600000,애플 아이패드 에어 2세대 9.7 WIFI 16GB
,,,,,,,,,아이패드 에어 2세대 9.7,WIFI,64GB,720000,애플 아이패드 에어 2세대 9.7 WIFI 64GB
,,,,,,,,,아이패드 에어 2세대 9.7,WIFI,128GB,840000,애플 아이패드 에어 2세대 9.7 WIFI 128GB
,,,,,,,,,아이패드 에어 2세대 9.7,셀룰러,16GB,760000,애플 아이패드 에어 2세대 9.7 셀룰러 16GB
,,,,,,,,,아이패드 에어 2세대 9.7,셀룰러,64GB,880000,애플 아이패드 에어 2세대 9.7 셀룰러 64GB
,,,,,,,,,아이패드 에어 2세대 9.7,셀룰러,128GB,990000,애플 아이패드 에어 2세대 9.7 셀룰러 128GB
,,,,,,,,,아이패드 에어 3세대 10.5,WIFI,64GB,629000,애플 아이패드 에어 3세대 10.5 WIFI 64GB
,,,,,,,,,아이패드 에어 3세대 10.5,WIFI,256GB,829000,애플 아이패드 에어 3세대 10.5 WIFI 256GB
,,,,,,,,,아이패드 에어 3세대 10.5,셀룰러,64GB,799000,애플 아이패드 에어 3세대 10.5 셀룰러 64GB
,,,,,,,,,아이패드 에어 3세대 10.5,셀룰러,256GB,999000,애플 아이패드 에어 3세대 10.5 셀룰러 256GB
