1,태블릿,애플,아이패드,1세대,9.7,2010.5
2,태블릿,애플,아이패드,2세대,9.7,2011.4
3,태블릿,애플,아이패드,3세대,9.7,2012.3
4,태블릿,애플,아이패드,4세대,9.7,2012.11
5,태블릿,애플,아이패드,5세대,9.7,2017.3
6,태블릿,애플,아이패드,6세대,9.7,2018.5
7,태블릿,애플,아이패드,7세대,10.2,2019.9
8,태블릿,애플,아이패드 에어,1세대,9.7,2013.11
9,태블릿,애플,아이패드 에어,2세대,9.7,2014.1
10,태블릿,애플,아이패드 에어,3세대,10.5,2019.3
11,태블릿,애플,아이패드 미니,1세대,7.9,2012.11
12,태블릿,애플,아이패드 미니,2세대,7.9,2013.11
13,태블릿,애플,아이패드 미니,3세대,7.9,2014.1
14,태블릿,애플,아이패드 미니,4세대,7.9,2015.9
15,태블릿,애플,아이패드 미니,5세대,7.9,2019.3
16,태블릿,애플,아이패드 프로,1세대,12.9,2015.11
17,태블릿,애플,아이패드 프로,,9.7,2016.3
18,태블릿,애플,아이패드 프로,2세대,12.9,2017.6
19,태블릿,애플,아이패드 프로,,10.5,2017.6
20,태블릿,애플,아이패드 프로,,11,2018.12
21,태블릿,애플,아이패드 프로,3세대,12.9,2018.12
